time,A01,A02,A03,A04,A05,A06,A07,A08,A09,B01,B02,B03,B04,B05,B06,B07,B08,B09
2022-02-06 10:52:04.982,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-02-06 10:52:29.354,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-06 10:54:48.885,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-06 12:09:25.754,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-02-06 12:09:43.317,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-04-06 21:56:25.729,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-04-06 21:56:31.897,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-04-06 22:12:28.776,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-05-13 07:13:07.805,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-05-13 07:13:35.908,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-05-13 07:15:18.712,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-05-13 07:15:42.313,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-05-13 07:19:12.048,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
